id,date,input,voters,imgur_id
56,"2016-08-17 09:14:18.013",a,"[""77784571"", ""130457629"", ""103341230""]",HzogukI
57,"2016-08-17 09:23:32.259",a,[],wSHVR8r
58,"2016-08-17 09:33:33.058",a,"[""29863368""]",e9kixN5
59,"2016-08-17 09:43:07.487",a,[],eiIcm1p
60,"2016-08-17 09:52:15.058",a,"[""15184907"", ""84198661"", ""23434411"", ""61357205""]",lqRLAwc
61,"2016-08-17 10:04:46.668",a,"[""27804360""]",uiWg22z
62,"2016-08-17 10:11:02.394",up,"[""36918209"", ""56978530"", ""26506659"", ""99094701""]",t8AuUkK
63,"2016-08-17 10:20:38.132",up,"[""77787385"", ""91875483"", ""123735604""]",kbsiD5t
64,"2016-08-17 10:30:56.551",up,[],IjwPQbT
65,"2016-08-17 10:41:32.768",up,[],Aux3TYQ
66,"2016-08-17 10:51:03.851",up,"[""35795561""]",Vplq03P
67,"2016-08-17 10:59:41.783",down,"[""115746624""]",6L2Arl6
68,"2016-08-17 11:15:39.897",down,"[""58749968"", ""131727812"", ""121067510""]",T8b3O3k
69,"2016-08-17 11:29:50.466",left,"[""113247684"", ""65578164""]",QBnCYg4
70,"2016-08-17 11:37:33.642",left,"[""30549343""]",8aMUK4K
71,"2016-08-17 11:49:15.732",down,"[""27804360"", ""23999976"", ""57351763"", ""130966572"", ""60253223""]",AxRAOoZ
72,"2016-08-17 11:58:36.894",a,"[""57081769"", ""70159901"", ""57916879""]",I66Ogk6
73,"2016-08-17 12:12:26.046",a,"[""121847084"", ""87612071""]",1NfN6YN
74,"2016-08-17 12:24:47.374",a,"[""45213393"", ""113247684""]",FpO2INo
75,"2016-08-17 12:35:52.948",left,[],EIAfrCc
76,"2016-08-17 12:45:48.242",down,"[""132049944"", ""85785065"", ""103250155"", ""90981054""]",hY7uoBg
77,"2016-08-17 12:57:27.002",down,"[""39288809"", ""128027964"", ""75909405"", ""113247684"", ""9481981""]",V5RoTgv
78,"2016-08-17 13:10:42.727",down,"[""29863368"", ""47718369"", ""103250155""]",1tJIZQl
79,"2016-08-17 13:25:39.740",right,"[""35767179""]",ECGkD0l
80,"2016-08-17 13:37:07.138",right,"[""63813413""]",DKxpzxC
