id,recorded_at,created_at,length,published_at,title,broadcast_type,views
46833405,2014-02-25T07:01:07Z,2014-03-02T15:42:36Z,6005,2014-03-02T15:42:35.928765Z,"Trapped in Pokemon Mansion",highlight,7823
30252900,2014-02-25T08:50:28Z,2014-10-08T02:43:26Z,41227,2014-10-08T02:43:26.373998Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,41
30251705,2014-02-25T20:25:07Z,2014-10-08T22:38:54Z,5664,2014-10-08T22:38:54.206946Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,111
30252832,2014-02-25T21:59:57Z,2014-10-08T02:50:36Z,148222,2014-10-08T02:50:35.557448Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,164
30254783,2014-02-27T16:40:27Z,2014-02-27T17:12:17Z,99254,2014-02-27T17:12:17.185532Z,"Twitch Plays Pokemon (Red) 14d15h17m ~ 15d18h48m",archive,2800
43379143,2014-02-27T16:40:27Z,2014-09-04T04:20:43Z,38039,2014-09-04T04:20:42.869875Z,"Twitch Plays Pokemon (Red) 14d15h17m ~ 15d18h48m",highlight,259
30254806,2014-02-28T20:15:01Z,2014-02-28T20:46:53Z,48225,2014-02-28T20:46:52.549118Z,"Twitch Plays Pokemon (Red) 15d18h52m ~ 16d7h52m (final)",archive,20104
43379026,2014-02-28T20:15:01Z,2014-09-04T04:21:07Z,48224,2014-09-04T04:21:06.757104Z,"Twitch Plays Pokemon (Red) 15d18h52m ~ 16d7h52m (final)",highlight,797
40793259,2014-02-28T21:03:01Z,2014-03-02T15:19:27Z,1181,2014-03-02T15:19:27.07701Z,"Fight with Lance (Venomoth vs Dragonite)",highlight,18396
30254837,2014-03-01T09:38:53Z,2014-03-01T10:10:35Z,32697,2014-03-01T10:10:35.379704Z,"Twitch Plays Pokemon (Red -> Crystal intermission 1)",archive,6623
43379068,2014-03-01T09:38:53Z,2014-09-04T04:21:43Z,12613,2014-09-04T04:21:43.1827Z,"Twitch Plays Pokemon (Red -> Crystal intermission 1)",highlight,555
46833293,2014-03-01T16:11:21Z,2014-03-02T15:02:19Z,10784,2014-03-02T15:02:19.004894Z,"Final Elite Four run and ending",highlight,11212
30252946,2014-03-01T18:56:03Z,2014-10-08T03:26:50Z,1513,2014-10-08T03:26:49.666171Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,68
30254983,2014-03-01T19:22:19Z,2014-03-01T19:55:46Z,10914,2014-03-01T19:55:45.831262Z,"Twitch Plays Pokemon (Red -> Crystal intermission 3)",archive,2838
43379307,2014-03-01T19:22:19Z,2014-09-04T04:22:43Z,10914,2014-09-04T04:22:43.074867Z,"Twitch Plays Pokemon (Red -> Crystal intermission 3)",highlight,82
46976455,2014-03-01T19:22:19Z,2014-03-11T22:07:30Z,1388,2014-03-11T22:07:30.372987Z,"Twitch Plays Pokemon plays Pokemon Pinball",highlight,2779
46977341,2014-03-01T20:09:49Z,2014-03-11T22:10:27Z,432,2014-03-11T22:10:26.721526Z,"Twitch Plays Pokemon plays Pokemon Puzzle League",highlight,3308
46976308,2014-03-01T20:24:57Z,2014-03-11T22:12:08Z,879,2014-03-11T22:12:08.467298Z,"Twitch Plays Pokemon plays Pokemon Trading Card Game",highlight,3915
46976243,2014-03-01T20:54:19Z,2014-03-11T22:16:17Z,3788,2014-03-11T22:16:17.498191Z,"Twitch Plays Pokemon plays The Legend of Zelda: Link's Awakening",highlight,8593
40446561,2014-03-01T21:44:41Z,2014-03-01T10:21:47Z,754,2014-03-01T10:21:46.721676Z,"Ultimate battle with BLUE (Final battle in Pokemon Red)",highlight,214394
30252761,2014-03-01T22:29:34Z,2014-10-08T03:27:03Z,637,2014-10-08T03:27:02.571386Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,60
30253073,2014-03-01T22:40:34Z,2014-10-08T03:27:24Z,43672,2014-10-08T03:27:23.908829Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,42
40803053,2014-03-01T23:22:19Z,2014-03-11T22:18:42Z,1219,2014-03-11T22:18:41.761521Z,"Twitch Plays Pokemon plays Super Mario Land",highlight,10521
40797694,2014-03-02T00:04:59Z,2014-03-11T22:22:02Z,2351,2014-03-11T22:22:02.394764Z,"Twitch Plays Pokemon plays Keitai Denju Telefang",highlight,11655
30254955,2014-03-02T10:54:20Z,2014-03-02T11:27:31Z,3373,2014-03-02T11:27:30.98465Z,"Twitch Plays Pokemon (Red -> Crystal intermission 6)",archive,1884
43379594,2014-03-02T10:54:20Z,2014-09-04T04:23:08Z,1799,2014-09-04T04:23:08.247698Z,"Twitch Plays Pokemon (Red -> Crystal intermission 6)",highlight,96
30253071,2014-03-02T11:50:43Z,2014-10-08T03:35:11Z,96906,2014-10-08T03:35:11.455281Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,201
44806400,2014-03-02T12:13:07Z,2014-11-17T01:40:08Z,308,2014-11-17T01:40:07.88737Z,"Pokemon Crystal - The beginning.",highlight,1433
44806415,2014-03-02T22:53:59Z,2014-11-17T01:40:41Z,84,2014-11-17T01:40:40.675151Z,"Pokemon Crystal - Capturing Sentret (ADiiiiihhh)",highlight,666
44806166,2014-03-03T04:16:33Z,2014-11-17T01:40:56Z,169,2014-11-17T01:40:56.08244Z,"Pokemon Crystal - Falkner defeated",highlight,330
30253009,2014-03-03T15:16:04Z,2014-10-08T03:57:20Z,22551,2014-10-08T03:57:19.8777Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,64
40799373,2014-03-03T20:17:54Z,2014-11-17T02:08:49Z,344,2014-11-17T02:08:48.597201Z,"Pokemon Crystal - Whitney defeated",highlight,7751
30253021,2014-03-03T21:32:20Z,2014-10-08T04:01:41Z,65236,2014-10-08T04:01:40.998549Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,49
44806043,2014-03-04T04:25:27Z,2014-11-17T01:50:18Z,197,2014-11-17T01:50:18.416548Z,"Pokemon Crystal - Bugsy defeated",highlight,649
30252954,2014-03-04T16:39:58Z,2014-10-08T04:16:51Z,15495,2014-10-08T04:16:51.29741Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,24
30254784,2014-03-04T20:58:39Z,2014-03-04T21:32:10Z,5275,2014-03-04T21:32:10.319367Z,"Twitch Plays Pokemon (Crystal) 2d8h58m ~ 2d9h58m",archive,493
43380222,2014-03-04T20:58:39Z,2014-09-04T04:23:29Z,3605,2014-09-04T04:23:28.565966Z,"Twitch Plays Pokemon (Crystal) 2d8h58m ~ 2d9h58m",highlight,106
30252671,2014-03-04T22:26:54Z,2014-10-08T04:19:52Z,525,2014-10-08T04:19:52.097723Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,17
30254537,2014-03-04T22:35:59Z,2014-03-04T22:37:38Z,77,2014-03-04T22:37:37.545792Z,"Twitch Plays Pokemon (Crystal) 2d10h35m ~ 2d10h37m",archive,598
43378767,2014-03-04T22:35:59Z,2014-09-04T04:23:47Z,77,2014-09-04T04:23:47.444925Z,"Twitch Plays Pokemon (Crystal) 2d10h35m ~ 2d10h37m",highlight,43
30252804,2014-03-04T22:37:40Z,2014-10-08T04:20:23Z,144925,2014-10-08T04:20:22.934855Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,56
30254677,2014-03-06T14:56:06Z,2014-03-06T15:29:28Z,4049,2014-03-06T15:29:28.127919Z,"Twitch Plays Pokemon (Crystal) 4d2h55m ~ 4d3h55m",archive,180
43379273,2014-03-06T14:56:06Z,2014-09-04T04:24:03Z,4049,2014-09-04T04:24:02.999086Z,"Twitch Plays Pokemon (Crystal) 4d2h55m ~ 4d3h55m",highlight,30
30252756,2014-03-06T16:03:42Z,2014-10-08T04:51:50Z,6769,2014-10-08T04:51:50.27665Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,12
30252740,2014-03-06T18:01:06Z,2014-10-08T04:53:22Z,87010,2014-10-08T04:53:22.422437Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,24
30251851,2014-03-07T18:41:30Z,2014-10-08T22:45:34Z,163198,2014-10-08T22:45:34.302405Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,132
30254623,2014-03-09T16:02:15Z,2014-03-09T16:35:45Z,4590,2014-03-09T16:35:44.969161Z,"Twitch Plays Pokemon (Crystal) 7d4h2m ~ 7d5h2m",archive,428
43379846,2014-03-09T16:02:15Z,2014-09-04T04:24:18Z,1799,2014-09-04T04:24:17.547721Z,"Twitch Plays Pokemon (Crystal) 7d4h2m ~ 7d5h2m",highlight,59
30252765,2014-03-09T17:18:51Z,2014-10-08T05:29:02Z,130173,2014-10-08T05:29:01.679407Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,31
30254676,2014-03-11T05:31:43Z,2014-03-11T06:05:07Z,73904,2014-03-11T06:05:06.653265Z,"Twitch Plays Pokemon (Crystal) 8d17h31m ~ 9d14h2m",archive,585
43379870,2014-03-11T05:31:43Z,2014-09-04T04:24:34Z,23476,2014-09-04T04:24:33.833739Z,"Twitch Plays Pokemon (Crystal) 8d17h31m ~ 9d14h2m",highlight,82
30252783,2014-03-12T02:33:46Z,2014-10-08T05:57:41Z,112342,2014-10-08T05:57:40.502369Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,47
30252757,2014-03-13T11:00:00Z,2014-10-08T06:11:48Z,76683,2014-10-08T06:11:48.374958Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,49
30254584,2014-03-14T08:48:26Z,2014-03-14T09:21:46Z,63155,2014-03-14T09:21:45.82469Z,"Twitch Plays Pokemon (Crystal) 11d20h48m ~ 12d14h14m",archive,2574
43379321,2014-03-14T08:48:26Z,2014-09-04T04:24:58Z,18013,2014-09-04T04:24:57.636287Z,"Twitch Plays Pokemon (Crystal) 11d20h48m ~ 12d14h14m",highlight,214
30252744,2014-03-15T02:21:41Z,2014-10-08T06:30:19Z,65028,2014-10-08T06:30:18.725826Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,74
30252737,2014-03-15T21:04:42Z,2014-10-08T06:42:12Z,31768,2014-10-08T06:42:12.493072Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,44
30254588,2014-03-16T06:07:17Z,2014-03-16T06:49:37Z,172117,2014-03-16T06:49:36.593989Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 2",archive,5622
43379253,2014-03-16T06:07:17Z,2014-09-04T04:22:16Z,54009,2014-09-04T04:22:16.11102Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 2",highlight,107
30252597,2014-03-18T05:59:39Z,2014-10-08T07:23:53Z,1441,2014-10-08T07:23:53.452983Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,24
30252576,2014-03-18T06:24:03Z,2014-10-08T07:24:21Z,5685,2014-10-08T07:24:21.24153Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,34
30252454,2014-03-18T08:01:49Z,2014-10-08T07:25:03Z,909,2014-10-08T07:25:02.976411Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,12
30252581,2014-03-18T08:19:16Z,2014-10-08T07:25:31Z,82727,2014-10-08T07:25:31.062993Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,25
30254498,2014-03-19T07:21:36Z,2014-03-19T07:54:53Z,6867,2014-03-19T07:54:52.946675Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 7",archive,421
43379318,2014-03-19T07:21:36Z,2014-09-04T04:25:30Z,1799,2014-09-04T04:25:29.850955Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 7",highlight,110
30252399,2014-03-19T09:30:41Z,2014-10-08T07:39:56Z,832,2014-10-08T07:39:56.167992Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,31
30254661,2014-03-19T10:01:05Z,2014-03-19T10:34:25Z,97149,2014-03-19T10:34:25.194079Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 9",archive,1008
43380120,2014-03-19T10:01:05Z,2014-09-04T04:25:48Z,27008,2014-09-04T04:25:48.426738Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 9",highlight,150
30254579,2014-03-20T13:03:34Z,2014-03-20T13:36:55Z,62054,2014-03-20T13:36:54.939992Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 10",archive,738
43379185,2014-03-20T13:03:34Z,2014-09-04T04:26:03Z,18017,2014-09-04T04:26:03.136579Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 10",highlight,97
30252484,2014-03-21T06:26:12Z,2014-10-08T08:17:09Z,2242,2014-10-08T08:17:09.124721Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,139
30254622,2014-03-21T07:03:57Z,2014-03-21T07:37:14Z,61037,2014-03-21T07:37:13.84129Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 12",archive,1543
43379393,2014-03-21T07:03:57Z,2014-09-04T04:26:20Z,23403,2014-09-04T04:26:19.569181Z,"Twitch Plays Pokemon (Crystal -> Emerald) Intermission 12",highlight,256
