id,date,input,voters,imgur_id
134,"2016-02-12 12:41:04.920",a,[],
135,"2016-02-12 12:45:13.937",a,[],
136,"2016-02-12 12:49:22.922",a,[],
137,"2016-02-12 12:53:31.953",a,"[""38352668""]",
138,"2016-02-12 12:57:40.994",a,[],
139,"2016-02-12 13:01:50.026",a,[],
140,"2016-02-12 13:05:59.054",a,[],
141,"2016-02-12 13:10:08.066",a,[],
142,"2016-02-12 13:14:17.062",b,[],
143,"2016-02-12 13:18:26.500",a,[],
144,"2016-02-12 13:22:35.970",a,[],
145,"2016-02-12 13:26:45.407",a,[],
146,"2016-02-12 13:30:55.208",a,[],
147,"2016-02-12 13:35:04.665",a,[],
148,"2016-02-12 13:39:13.660",a,"[""27965194""]",
149,"2016-02-12 13:43:22.639",a,[],
150,"2016-02-12 13:47:31.654",a,[],
151,"2016-02-12 13:51:40.742",a,[],
152,"2016-02-12 13:55:50.179",a,"[""27965194"", ""69800419""]",
153,"2016-02-12 13:59:59.648",a,[],
154,"2016-02-12 14:04:08.677",a,[],
155,"2016-02-12 14:08:17.689",a,[],
156,"2016-02-12 14:12:26.688",a,[],
157,"2016-02-12 14:16:35.696",a,[],
158,"2016-02-12 14:20:44.716",a,[],
159,"2016-02-12 14:24:53.753",a,[],
160,"2016-02-12 14:29:02.772",a,"[""49516247""]",
161,"2016-02-12 14:33:11.795",a,[],
162,"2016-02-12 14:37:20.829",down,[],
163,"2016-02-12 14:41:29.871",down,[],
164,"2016-02-12 14:45:38.892",down,"[""60494470""]",
165,"2016-02-12 14:49:47.907",right,"[""59372961""]",
166,"2016-02-12 14:53:56.901",right,[],
167,"2016-02-12 14:58:05.890",right,[],
168,"2016-02-12 15:02:14.918",right,[],
169,"2016-02-12 15:06:23.973",right,[],
170,"2016-02-12 15:10:33.012",a,[],
171,"2016-02-12 15:14:42.052",up,[],
172,"2016-02-12 15:18:51.070",up,[],
173,"2016-02-12 15:23:00.088",left,[],
174,"2016-02-12 15:27:09.098",left,[],
175,"2016-02-12 15:31:18.101",a,[],
176,"2016-02-12 15:35:27.142",right,[],
177,"2016-02-12 15:39:36.174",right,[],
178,"2016-02-12 15:43:45.193",right,[],
179,"2016-02-12 15:47:54.210",right,[],
180,"2016-02-12 15:52:03.214",a,[],
181,"2016-02-12 15:56:12.269",up,[],
182,"2016-02-12 16:00:21.293",right,[],
183,"2016-02-12 16:04:30.327",a,[],
184,"2016-02-12 16:08:39.320",b,[],
185,"2016-02-12 16:12:48.338",down,[],
186,"2016-02-12 16:16:57.412",left,[],
187,"2016-02-12 16:21:06.398",left,[],
188,"2016-02-12 16:25:15.421",left,[],
189,"2016-02-12 16:29:24.454",left,[],
190,"2016-02-12 16:33:33.486",a,[],
191,"2016-02-12 16:37:42.501",right,[],
192,"2016-02-12 16:41:51.524",right,[],
193,"2016-02-12 16:46:00.540",a,[],
194,"2016-02-12 16:50:09.555",down,[],
195,"2016-02-12 16:54:18.563",right,[],
196,"2016-02-12 16:58:27.576",right,"[""58042161""]",
197,"2016-02-12 17:02:36.575",right,[],
198,"2016-02-12 17:06:45.619",right,"[""38081319""]",
199,"2016-02-12 17:10:54.587",a,[],
200,"2016-02-12 17:15:03.615",up,"[""93478150""]",
201,"2016-02-12 17:19:12.641",up,[],
202,"2016-02-12 17:23:21.666",right,[],
203,"2016-02-12 17:27:30.715",right,[],
204,"2016-02-12 17:31:39.688",right,[],
205,"2016-02-12 17:35:48.725",right,[],
206,"2016-02-12 17:39:57.740",right,[],
207,"2016-02-12 17:44:06.757",right,[],
208,"2016-02-12 17:48:15.796",a,[],
209,"2016-02-12 17:52:24.802",a,"[""44156350""]",
210,"2016-02-12 17:56:33.832",start,[],
211,"2016-02-12 18:00:42.829",a,[],
212,"2016-02-12 18:04:51.868",up,[],
213,"2016-02-12 18:09:00.889",a,[],
214,"2016-02-12 18:13:09.994",a,[],
215,"2016-02-12 18:17:19.030",a,[],
216,"2016-02-12 18:21:28.050",a,[],
217,"2016-02-12 18:25:37.087",a,[],
218,"2016-02-12 18:29:46.130",a,[],
219,"2016-02-12 18:33:55.142",a,[],
220,"2016-02-12 18:38:04.154",a,[],
221,"2016-02-12 18:42:13.172",a,[],
222,"2016-02-12 18:46:22.168",a,"[""59372961""]",
223,"2016-02-12 18:50:31.166",a,[],
224,"2016-02-12 18:54:40.222",a,[],
225,"2016-02-12 18:58:49.251",a,[],
226,"2016-02-12 19:02:58.272",a,[],
227,"2016-02-12 19:07:07.293",a,[],
228,"2016-02-12 19:11:16.266",a,[],
229,"2016-02-12 19:15:25.303",a,[],
230,"2016-02-12 19:19:34.291",a,[],
231,"2016-02-12 19:23:43.310",a,[],
232,"2016-02-12 19:28:06.113",a,[],
233,"2016-02-12 19:32:15.136",down,[],
234,"2016-02-12 19:36:24.125",down,[],
235,"2016-02-12 19:40:33.130",a,[],
236,"2016-02-12 19:44:42.144",down,[],
237,"2016-02-12 19:48:51.163",a,[],
238,"2016-02-12 19:53:00.203",up,[],
239,"2016-02-12 19:57:09.205",up,[],
240,"2016-02-12 20:01:18.205",a,[],
241,"2016-02-12 20:05:27.172",down,"[""57377034""]",
242,"2016-02-12 20:09:36.207",down,[],
243,"2016-02-12 20:13:45.187",down,[],
244,"2016-02-12 20:17:54.164",down,[],
245,"2016-02-12 20:22:03.205",a,[],
246,"2016-02-12 20:26:12.243",a,[],
247,"2016-02-12 20:30:21.281",b,[],
248,"2016-02-12 20:34:30.274",b,[],
249,"2016-02-12 20:38:39.297",a,[],
250,"2016-02-12 20:42:48.311",right,[],
251,"2016-02-12 20:46:57.350",down,[],
252,"2016-02-12 20:51:06.339",a,[],
253,"2016-02-12 20:55:17.416",a,[],
254,"2016-02-12 20:59:26.444",b,[],
255,"2016-02-12 21:03:35.446",up,[],
